date,GDP (in billions of USD)
2025-01-01,
2024-01-01,32808056600.9436
2023-01-01,30696331295.7826
2022-01-01,27783332222.6759
2021-01-01,27520784129.7508
2020-01-01,24530513037.7518
2019-01-01,23403995992.1354
2018-01-01,23116701556.1381
2017-01-01,20996562943.5979
2016-01-01,19040312333.1864
2015-01-01,17774766696.1759
2014-01-01,19797253440.2679
2013-01-01,18918667724.8817
2012-01-01,17660870411.5235
2011-01-01,17814283639.3119
2010-01-01,16121315909.0758
2009-01-01,16145867494.9405
2008-01-01,16853989627.548
2007-01-01,13994218412.9619
2006-01-01,11697918243.0035
2005-01-01,11009033437.939
2004-01-01,10076816666.6196
2003-01-01,8768721563.18211
2002-01-01,7006402319.75856
2001-01-01,6507824829.26254
2000-01-01,6013185003.97525
